Продукт;Белки;Жиры;Углеводы;Ккал
Баклажаны;0,6;0,1;5,5;25
Брюква;1,2;0,1;8,1;38
Горошек зеленый;5,0;0,2;13,3;75
Грибы белые свежие;3,2;0,7;1,6;25
Грибы белые сушеные;27,6;6,8;10,0;211
Грибы подберезовики свежие;2,3;0,9;3,7;32
Грибы подосиновики свежие;3,3;0,5;3,4;31
Грибы сыроежки свежие;1,7;0,3;1,4;15
Зеленая фасоль (стручок);4,0;0,0;4,3;33
Кабачки;0,6;0,3;5,7;27
Капуста белокочанная;1,8;0,0;5,4;28
Капуста цветная;2,5;0,0;4,9;29
Картофель;2,0;0,1;19,7;87
Лук зеленый (перо);1,3;0,0;4,3;22
Лук порей;3,0;0,0;7,3;41
Лук репчатый;1,7;0,0;9,5;44
Морковь;1,3;0,1;7,0;34
Огурцы;0,8;0,0;3,0;15
Оливки;5,2;51,0;10,0;519
Перец зеленый сладкий;1,3;0,0;4,7;24
Перец красный сладкий;1,3;0,0;5,7;28
Петрушка (зелень);3,7;0,0;8,1;47
Петрушка (корень);1,5;0,0;11,0;50
Помидоры (томаты);1,0;0,2;3,7;20
Ревень;0,7;0,0;2,9;14
Редис;1,2;0,0;4,1;21
Редька;1,9;0,0;7,0;35
Репа;1,5;0,0;5,9;29
Салат;1,5;0,0;2,2;14
Свекла;1,7;0,0;10,8;50
Тыква;1;0,0;6,5;29
Хрен;2,5;0,0;16,3;75
Черемша;2,4;0,0;6,5;35
Чеснок;6,5;0,0;21,2;110
Шпинат;2,9;0,0;2,3;20
Щавель;1,5;0,0;5,3;27
Горошек;35,0;0,4;47,5;322
Картофель;6,6;0,3;73,7;307
Лук репчатый;16,0;2,8;47,8;273
Морковь;13,0;1,5;54,6;275
Свекла;13,5;0,0;59,6;278
Капуста квашеная;0,8;0,0;1,8;14
Огурцы соленые;2,8;0,0;1,3;19
Томаты соленые;1,7;0,0;1,8;19
Арбуз;0,7;0,0;9,2;38
Дыня;0,6;0,0;9,6;39
Абрикосы;0,9;0,0;10,5;45
Айва;0,6;0,0;8,9;38
Алыча;0,2;0,0;7,4;30
Ананас;0,4;0,0;11,8;48
Апельсин;0,9;0,0;8,4;37
Арбуз;0,5;0,2;6,0;27
Брусника;0,7;0,0;8,6;40
Бананы;1,5;0,0;22,0;94
Крыжовник;0,7;0,0;9,9;42
Курага;5,2;0,0;65,9;284
Лимон;0,9;0,0;3,6;18
Малина;0,8;0,0;9,0;39
Мандарин;0,8;0,0;8,6;38
Морошка;0,8;0,0;6,8;30
Облепиха;0,9;0,0;5,5;25
Персики;0,6;0,0;16,0;66
Рябина;1,4;0,0;12,5;55
Слива;0,8;0,0;9,9;42
Гранат;0,9;0,0;11,8;52
Кизил;1,0;0,0;9,7;45
Инжир;0,7;0,0;13,9;56
Смородина;0,3;0,0;8,7;36
Финики;2,5;0,0;72,1;298
Хурма;0,5;0,0;15,9;65
Черешня;1,1;0,0;12,3;53
Черника;1,1;0,0;8,6;38
Чернослив;2,3;0,0;65,6;261
Шелковица;0,7;0,0;12,7;53
Киви;1,0;0,6;9,3;48
Шиповник;1,6;0,0;24,0;102
Яблоки;0,4;0,0;11,3;46
Урюк;5,0;0,0;67,5;278
Курага;5,2;0,0;65,9;272
Изюм с косточкой;1,8;0,0;70,9;276
Изюм;2,3;0,0;71,2;279
Кишмиш;2,3;0,0;71,2;279
Вишня;1,5;0,0;73;292
Груша;2,3;0,0;62,1;246
Персики;3,0;0,0;68,5;275
Чернослив;2,3;0,0;65,6;264
Яблоки;3,2;0,0;68,0;273
Белуга;24,0;4;0,0;131
Бычки;12,8;8,1;5,2;144
Вобла;46,0;6,0;0,0;238
Горбуша;21,0;7,0;0,0;147
Икра кеты зернистая;31,6;13,8;0,0;250
Икра лещевая пробойная;24,7;4,8;0,0;142
Икра минтаевая пробойная;28,4;1,9;0,0;130
Икра осетровая зернистая;28,9;9,7;0,0;202
Икра осетровая пробойная;36,0;10,2;0,0;235
Кальмар;18,0;0,3;0,0;74
Камбала;16,1;2,6;0,0;87
Карась;17,7;1,8;0,0;87
Карп;16,0;3,6;0,0;96
Кета;22,0;5,6;0,0;138
Кефаль;21,0;4,0;0,0;124
Корюшка;15,5;3,2;0,0;90
Краб;16,0;0,5;0,0;68
Креветки;22,0;1,0;0,0;97
Ледяная;15,5;1,4;0,0;74
Лосось;-;-;-;176
Лещ;17,1;4,1;0,0;105
Макрурус;13,2;0,8;0,0;60
Мидии;-;-;-;72;
Минога;14,7;11,9;0,0;165
Минтай;15,9;0,7;0,0;69
Мойва;13,4;11,5;0,0;157
Морская капуста;0,9;0,2;3,0;17
Навага;16,1;1,0;0,0;73
Налим;18,8;0,6;0,0;80
Нототения мраморная;14,8;10,7;0,0;155
Окунь морской;17,6;5,2;0,0;117
Окунь речной;18,5;0,9;0,0;82
Осетр;16,4;10,9;0,0;163
Палтус;18,9;3,0;0,0;102
Печень трески;4,0;66,0;0,0;610
Путассу;16,1;0,9;0,0;72
Рыба-сабля;20,3;3,2;0,0;110
Рыбец каспийский;19,2;2,4;0,0;98
Сазан;18,4;5,3;0,0;121
Сайра;18,6;12,0;0,0;182
Сайда;19.0;1.2;0.0;80
Салака;17,3;5,6;0,0;119
Сельдь;17,7;19,5;0,0;246
Семга;20,8;15,1;0,0;219
Сиг;19,0;7,5;0,0;143
Скумбрия;18,0;9,0;0,0;153
Сом;16,8;8,5;0,0;143
Ставрида;18,5;5,0;0,0;119
Стерлядь;17,0;6,1;0,0;122
Судак;19,0;0,8;0,0;83
Трепанг;7,0;1,0;0,0;37
Треска;17,5;0,6;0,0;75
Тунец;23,0;1,0;0,0;101
Угольная рыба;13,2;11,6;0,0;157
Угорь;14,5;30,5;0,0;332
Угорь морской;19,1;1,9;0,0;93
Устрицы;14,0;3,0;6,0;95
Хек;16,6;2,2;0,0;86
Щука;18,8;0,7;0,0;81
Язь;18,2;1,0;0,0;81
Лещ копч;32,8;4,5;0,0;172
Салака копч;25,4;5,6;0,0;152
Треска потрошеная копч;26,0;1,2;0,0;115
Угорь потрошеный копч;15,7;35,9;0,0;386
Баранина;16,3;15,3;0,2;202
Говядина;19,0;12,4;0,2;165
Конина;20,2;7,0;0,2;143
Кролик;20,7;12,9;0,2;198
Свинина жирная;11,4;49,3;0,2;489
Свинина постная;16,4;27,8;0,2;315
Телятина жирная;19,0;8,0;0,2;148
Телятина нежирная;20,0;1,0;0,2;89
Ветчина;22,6;20,9;0,0;278
Говядина тушеная;16,8;18,3;0,0;231
Грудинка сырокопченая;7,6;66,8;0,0;631
Завтрак туриста (говядина);20,5;10,4;0,0;175
Завтрак туриста (свинина);16,9;15,4;0,0;206
Колбаса вареная Докторская;13,7;22,8;0,0;260
Колбаса вареная Любительская;12,2;28,0;0,0;300
Колбаса вареная Молочная;11,7;22,8;0,0;252
Колбаса вареная Отдельная;10,1;20,1;1,8;228
Колбаса вареная Телячья;12,5;29,6;0,0;316
Колбаса варено-копченая Любительская;17,3;39,0;0,0;420
Колбаса варено-копченая Сервелат;28,2;27,5;0,0;360
Колбаса полукопченая Краковская;16,2;44,6;0,0;466
Колбаса полукопченая Минская;23,0;17,4;2,7;259
Колбаса полукопченая Полтавская;16,4;39,0;0,0;416
Колбаса полукопченая Украинская;16,5;34,4;0,0;375
Колбаса сырокопченая Любительская;20,9;47,8;0,0;513
Колбаса сырокопченая Московская;24,8;41,5;0,0;472
Колбасный фарш;15,2;15,7;2,8;213
Корейка сырокопченая;10,5;47,2;0,0;466
Сардельки говяжьи;12,0;15,0;2,0;191
Сало;1,4;92,8;0,0;840
Сардельки свиные;10,1;31,6;1,9;332
Свинина тушеная;15,0;32,0;0,0;348
Сосиски Молочные;12,3;25,3;0,0;276
Сосиски Русские;12,0;19,1;0,0;219
Сосиски Свиные;11,8;30,8;0,0;324
Гусятина;16,1;33,3;0,2;364
Индейка;21,6;12,0;0,8;197
Куры;20,8;8,8;0,6;164
Утятина;16,5;31,0;0,2;345
Цыплята;18,7;7,8;0,4;146
Яйцо куриное;12,57;12,02;0,67;142
Вымя говяжье;12,3;13,7;0,0;172
Мозги говяжьи;9,5;9,5;0,0;123
Печень говяжья;17,4;3,1;0,0;97
Печень свиная;18,8;3,6;0,0;107
Почки говяжьи;12,5;1,8;0,0;66
Почки свиные;13,0;3,1;0,0;79
Сердце говяжье;15,0;3,0;0,0;87
Сердце свиное;15,1;3,2;0,0;89
Язык говяжий;13,6;12,1;0,0;163
Язык свиной;14,2;16,8;0,0;208
Актимель натуральный;2,8;1,6;14,3;83
Брынза из коровьевого молока;17,9;20,1;0,0;260
Кефир 3,2%;2,8;3,2;4,1;59
Кефир обезжиренный;3,0;0,1;3,8;30
Молоко 0,5%;3,0;0,5;4,7;36
Молоко 3,2%;2,8;3,2;4,7;58
Молоко ацидофильное;2,8;3,2;10,8;83
Молоко обезжиренное;4,0;0,0;5,0;33
Молоко сгущенное;7,0;7,9;9,5;135
Молоко сгущенное с сахаром;7,2;7,9;56,0;315
Простокваша;2,8;3,2;4,1;58
Ряженка 6% жирности;3,0;6,0;4,0;85
Сливки 10%;3,0;10,0;4,0;118
Сливки 20%;2,8;20,0;3,6;205
Сметана 10%;3,0;10,0;2,9;116
Сметана 20%;2,8;20,0;3,2;206
Сметана домашняя;2,0;48,0;2,0;447
Гауда 45%;-;-;-;343
Гауда 48%;-;-;-;358
Голландский;-;-;-;352
Горгонцола 50%;-;-;-;358
Камамбер 30%;-;-;-;207
Камамбер 45%;-;-;-;281
Камамбер 55%;-;-;-;320
Маасдам;-;-;-;273
Моцарелла;-;-;-;254
Паланга;-;-;-;295
Пармезан;-;-;-;590
Пошехонский;-;-;-;334
Российский;-;-;-;371
Чеддер 50%;-;-;-;410
Швейцарский;-;-;-;396
Эдамер 30%;-;-;-;265
Эдамер 40%;-;-;-;322
Эдамер 45%;-;-;-;371
Эмментальский 45%;-;-;-;382
Голубой бергадер;-;-;-;310
Горный;-;-;-;380
Козий;-;-;-;390
Козий мягкий;-;-;-;280
Сыр колбасный;-;-;-;368
Овечий;-;-;-;260
Тофу;-;-;-;106
Сулугуни;-;-;-;285
Жир кулинарный;-;-;-;897
Жир кондитерский;-;-;-;897
Жир животный топленный;-;-;-;897
Жир гусиный;-;-;-;930
Маргарин сливочный;-;-;-;746
Маргарин диетический;-;-;-;366
Масло подсолнечное;-;-;-;900
Масло соевое;-;-;-;899
Масло кукурузное;-;-;-;899
Масло арахисовое;-;-;-;895
Шпик свиной;-;-;-;816
Баранки;10,0;2,0;69,0;334
Вафли с жиросодержащими начинками;3,0;30,0;64,0;538
Вафли с фруктовыми начинками;3,0;5,0;80,0;377
Макаронные изделия;11,0;0,9;74,2;348
Мука пшеничная 1 сорта;10,6;1,3;73,2;346
Мука пшеничная 2 сорта;11,7;1,8;70,8;346
Мука пшеничная высшего сорта;10,3;0,9;74,2;346
Мука ржаная;6,9;1,1;76,9;345
Пирожное бисквитное с фруктовой начинкой;5,0;10,0;60,0;350
Пирожное слоеное с кремом;5,0;40,0;46,0;564
Пирожное слоеное с фруктовой начинкой;5,0;25,0;55,0;465
Пряники 5,0;3,0;76,0;351
Сдобная выпечка;8,0;15,0;50,0;367
Сухари пшеничные;11,0;2,0;72,0;350
Сухари сливочные;8,5;10,6;71,3;414
Сушки;11,0;1,3;73,0;347
Торт бисквитный с фруктовой начинкой;4,7;20,0;49,8;398
Торт миндальный;6,6;35,8;46,8;535
Хлеб пшеничный из муки 1 сорта;7,7;2,4;53,4;266
Хлеб ржаной;4,7;0,7;49,8;224
Хлеб ржаной грубый;4,2;0,8;43,0;196
Арахис;26,3;45,2;9,7;550
Бобы;6,0;0,1;8,3;58
Геркулес;13,1;6,2;65,7;371
Горох лущеный;23,0;1,6;57,7;337
Горох цельный;23,0;1,2;53,3;316
Грецкий орех;13,8;61,3;10,2;647
Крупа гречневая;12,6;2,6;68,0;345
Крупа кукурузная;8,3;1,2;75,0;344
Крупа манная;11,3;0,7;73,3;344
Крупа овсяная;12,0;6,0;67,0;370
Крупа перловая;9,3;1,1;73,7;341
Крупа пшеничная;12,7;1,1;70,6;343
Крупа ячневая;10,4;1,3;71,7;340
Миндаль;18,6;57,7;13,6;648
Просо;9,1;3,8;70,0;350
Пшеница цельная;9,0;2,0;52,0;262
Пшено;12,0;2,9;69,3;351
Рис;8,0;1,0;76,0;345
Рожь;11,0;2,0;67,0;330
Семечки подсолнечника;20,7;52,9;5,0;578
Соя;34,9;17,3;26,5;401
Толокно;12,2;5,8;68,3;374
Фасоль;22,3;1,7;54,5;322
Фундук;16,1;66,9;9,9;706
Чечевица;24,8;1,1;53,7;323
Ячневая крупа;10,0;1,0;66,0;324
Драже фруктовое;3,7;10,2;73,1;399
Зефир;0,8;0,0;78,3;316
Ирис;3,3;7,5;81,8;407
Карамель;0,0;0,1;77,7;311
Конфеты шоколадные;3,0;20,0;67,0;460
Мармелад;0,0;0,1;77,7;311
Мед;0,8;0,0;80,3;324
Пастила;0,5;0,0;80,4;323
Сахар;0,0;0,0;99,9;399
Халва подсолнечная;11,6;29,7;54,0;529
Халва тахинная;12,7;29,9;50,6;522
Шоколад молочный;6,9;35,7;52,4;558
Шоколад темный;5,4;35,3;52,6;549
Вино виноградное сухое 100мл;-;-;-;72
Водка 20 мл;-;-;-;55
Джин 40 мл;-;-;-;130
Кальвадос 20 мл;-;-;-;65
Коньяк 100 мл;-;-;-;236
Мартини Бьянко (вермут);-;-;-;85
Мартини сухой;-;-;-;60
Пиво 250 мл;-;-;-;120
Рисовая водка сакэ 20 мл;-;-;-;50
Ром 20 мл;-;-;-;75
Шампанское полусладкое 100 мл;-;-;-;95
Шампанское сухое 100 мл;-;-;-;85
Сок Абрикосовый;-;-;-;56
Сок Апельсиновый;-;-;-;55
Сок Виноградный;-;-;-;52
Сок Вишневый;-;-;-;53
Сок Мандариновый;-;-;-;41
